bed_base,outcome,model,threshold,occ_col,cap_col,y_col,nobs,dropped_regressors,coef_above_thr,se_above_thr,p_above_thr,coef_above_x_cap_z,se_above_x_cap_z,p_above_x_cap_z,coef_above_x_nearest_trust_km_z,se_above_x_nearest_trust_km_z,p_above_x_nearest_trust_km_z,coef_above_x_trusts_within_10km_z,se_above_x_trusts_within_10km_z,p_above_x_trusts_within_10km_z,coef_above_x_trusts_within_25km_z,se_above_x_trusts_within_25km_z,p_above_x_trusts_within_25km_z
all,ae_12h_per_1k_att,threshold_interactions,0.8,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,-3.32544220943383,1.1572162236682837,0.004082820848170243,1.842313903176315,11.928286295834688,0.8772648116559945,1.748102848008946,0.7396798217744978,0.018168151631774432,-4.200082099183163,1.1625084657178677,0.0003071444317384042,4.278379410506498,1.288674407821708,0.0009097765209329367
all,ae_12h_per_1k_att,threshold_interactions,0.82,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,-2.605550424132959,1.0945636271244386,0.017346793243634417,19.637904773225674,11.598918205923004,0.09053228172580541,2.6931435496314537,0.7338951249983213,0.0002466265370166809,-5.240394657865237,1.1529224997544487,5.677586457419892e-06,5.513011938881957,1.252692068562974,1.111202705295078e-05
all,ae_12h_per_1k_att,threshold_interactions,0.85,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,-1.7883643552062425,0.952153063847874,0.06043547598452492,17.33420942973604,11.055231376916144,0.1169830715822262,2.330345342314766,0.6653889980201535,0.00046735830968147596,-5.484506263620655,1.1873396503414009,3.996827786956203e-06,6.17213152141989,1.202549302282085,3.019927201641792e-07
all,ae_12h_per_1k_att,threshold_interactions,0.88,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,1.4420383417507616,0.9112537727533112,0.11363425460821919,21.473409303638057,11.71073215654118,0.0667935529131134,1.8466752196786358,0.7512381836574312,0.014014335967570846,-6.547906679615825,1.287295555667024,3.8447447692213643e-07,7.095838944250724,1.2634816667271096,2.1110444725636057e-08
all,ae_12h_per_1k_att,threshold_interactions,0.9,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,0.4480461046161416,0.9898944971134175,0.6508514105193415,22.616542873850427,14.247245481554407,0.11250824927165093,2.0903490340331494,0.9288869270450946,0.024488863664213323,-5.616826796815192,1.3263396548719004,2.3481872873043486e-05,5.783222636526746,1.2698014346873658,5.438293915194237e-06
all,ae_12h_per_1k_att,threshold_interactions,0.92,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,1.9081956887530447,1.0808020228102657,0.077563901030681,40.02145427588784,16.039101588674395,0.012634454106966508,2.5043129832943216,1.051399753384798,0.017279323961286952,-5.726089942196292,1.3333022991531576,1.7987817535480843e-05,6.026968988422663,1.338589422021137,6.943473914500231e-06
all,ae_4hr_pct,threshold_interactions,0.8,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,,-0.009938822901381173,0.010569893581744993,0.3471332424832525,-0.08542120642578974,0.11714022668302443,0.4659165423431715,0.005580776435621543,0.007541307381295011,0.4593345925293928,0.06394624448082852,0.010588514007776662,1.7167804955420252e-09,-0.037188786079987456,0.009786846383221191,0.0001473203215451857
all,ae_4hr_pct,threshold_interactions,0.82,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,,-0.004106984097344777,0.009848157575920181,0.6766824407411214,-0.05560042539606428,0.11749904536832896,0.6361018102386979,0.005793591671691157,0.007301211099254459,0.4275358518000303,0.0803742950275158,0.011679954951875801,7.034595128629917e-12,-0.04384880396841273,0.009808011874625005,8.05215343846477e-06
all,ae_4hr_pct,threshold_interactions,0.85,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,,0.016519067720281784,0.00872917483623885,0.05852345551322213,0.07790819080057061,0.11597917156658577,0.5017932761523802,0.0056864400021743025,0.005763217818863909,0.3238711827139671,0.08563527072376294,0.012476483916420453,7.94786458868657e-12,-0.041705293563020926,0.009123795439434514,5.026797784690729e-06
all,ae_4hr_pct,threshold_interactions,0.88,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,,0.002439554174013354,0.008499549193962484,0.7741133832001903,-0.006105611923846693,0.1178012596089706,0.9586673998362365,0.0013728003994911454,0.0054431048344268365,0.8008948083249905,0.07567623889279747,0.016669888019686222,5.830003531492878e-06,-0.03619454247317253,0.008915229489443545,5.021637044344551e-05
all,ae_4hr_pct,threshold_interactions,0.9,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,,-0.006252270471154317,0.007996503533064955,0.4343425067769937,-0.17642583678318324,0.12411933281764309,0.15528666325897178,-0.00439978871638685,0.0054597715688771324,0.4203826920743916,0.06059859752426005,0.018320529855721926,0.0009505409839505319,-0.022976869453784066,0.009346923905969322,0.014012289491184049
all,ae_4hr_pct,threshold_interactions,0.92,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,,-0.017530549425821683,0.007934543434670113,0.027213935518034083,-0.3380383525995268,0.1381999046528047,0.014495360104429311,-0.005492731443773698,0.0054952804872776565,0.3176066128840176,0.03255648918989538,0.017114444586829047,0.057219323223338,-0.008314594283988466,0.009688613959383354,0.3908528313369346
all,canc_pct28,threshold_interactions,0.8,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_pct_not_treated_28_days,2857,,-0.008806776931198808,0.034563400871413186,0.7988966613927828,-0.12773421229674428,0.34763574720129997,0.713322194635118,0.01490394471966214,0.01625643324639565,0.35932859171272624,0.06980621801329145,0.05035813094803001,0.16580272426829334,-0.09683119539628318,0.05562271496898724,0.08182361494021051
all,canc_pct28,threshold_interactions,0.82,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_pct_not_treated_28_days,2857,,-0.017657994835712263,0.029595541332210453,0.5507957425480927,-0.1716492545855738,0.3320059182871747,0.6051942867525466,0.031861277280906354,0.018186128349826317,0.07989613724357691,0.07701544469139358,0.044556401997099704,0.08401520378260896,-0.09477912321845228,0.04938219877850201,0.05505298812886461
all,canc_pct28,threshold_interactions,0.85,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_pct_not_treated_28_days,2857,,-0.01581325273681045,0.021484910693850973,0.46178507748629016,-0.2702707148795214,0.2876503146577274,0.34751745654267285,0.009322209029958655,0.012072288444790196,0.44006479067791404,0.004640583919967766,0.030551160841772167,0.8792808103444778,-0.0175616635477401,0.03289726402649095,0.5935010488209418
all,canc_pct28,threshold_interactions,0.88,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_pct_not_treated_28_days,2857,,-0.00874451778718908,0.018565003235430744,0.637663707807357,-0.14215714573148622,0.24556027049888976,0.5626990564540915,0.011843429182745113,0.010346348102362637,0.25243728296562185,0.0071438600641601895,0.029716598744787527,0.8100388674860093,-0.014040166255417215,0.02679499755494937,0.6003326563919598
all,canc_pct28,threshold_interactions,0.9,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_pct_not_treated_28_days,2857,,-0.007402684735378786,0.018368444889227432,0.6869723631720115,-0.005481848908781779,0.2357879995247927,0.9814533404720087,0.025735161733304236,0.010182970168681377,0.011552327895171244,0.00553755638193524,0.028317962094456976,0.8449778342170957,0.00775183699501547,0.019304773244958346,0.6880471077845014
all,canc_pct28,threshold_interactions,0.92,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_pct_not_treated_28_days,2857,,-0.008442298438493293,0.019414633040171828,0.6637121716326093,-0.211635416892961,0.26441913882986906,0.4235625579416078,0.007034893083878842,0.01217104823625869,0.5633112617938956,0.007468137916526591,0.029573868411516917,0.800654778307704,-0.002451678485398128,0.01922885802776992,0.8985542941519704
ga,ae_12h_per_1k_att,threshold_interactions,0.8,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,-3.5947519784062703,1.1852994289384073,0.002441534923504074,-3.0433979730361633,10.741644344794103,0.7769435309533175,0.8282085302589696,0.7408862761486676,0.2637054553664455,-4.789997838815739,1.0825837480069451,9.96725669133447e-06,4.465886624120315,1.1769786499482804,0.00015061559599383045
ga,ae_12h_per_1k_att,threshold_interactions,0.82,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,-2.792252635875461,1.0540075020723119,0.008106362952443602,4.742985168213363,10.156430563077247,0.6405347710618741,1.4323325336321828,0.7928723474115237,0.07092750508461765,-3.945309217672354,1.0696104812261662,0.00022908883723604667,4.130982769195448,1.1417061046343573,0.0003009401480296159
ga,ae_12h_per_1k_att,threshold_interactions,0.85,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,-2.8867006439059986,0.8958530453274506,0.0012837712083617614,8.640165659427215,9.660742108075196,0.3711938714749583,2.618354024094351,0.6508664659330766,5.875079079187273e-05,-3.8258358459464126,1.1453243429598192,0.0008456751944840857,4.048627899094385,1.231220962129291,0.0010182535560476769
ga,ae_12h_per_1k_att,threshold_interactions,0.88,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,-0.990163723548299,0.8011289173579883,0.21655914688640188,21.948084956838937,9.289801114822508,0.01820359941428995,2.267120219183251,0.6580115895073575,0.000577140287969069,-4.322979479751805,1.1240416666014734,0.00012231381208427372,5.417350797792241,1.145366856313773,2.3394405812560137e-06
ga,ae_12h_per_1k_att,threshold_interactions,0.9,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,1.2307756857020082,0.79167041548244,0.12012151145139738,22.986582532487944,9.741503888159446,0.018348528706328082,2.2295379535935695,0.7252015434170439,0.0021263242022762086,-3.6469871972822325,1.1349491174184447,0.001324303628549961,4.7526997725463325,1.1654086233549457,4.644447991797307e-05
ga,ae_12h_per_1k_att,threshold_interactions,0.92,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,2.24351258995529,0.8375396156634305,0.007426782693402911,21.59322699846178,11.206075807551791,0.05407318657243798,1.829349926094982,0.9281696187826828,0.04881429084814615,-4.030777410378739,1.1799115530777382,0.0006425841957078404,5.35720430306662,1.1867595617668383,6.57420591232416e-06
ga,ae_4hr_pct,threshold_interactions,0.8,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,-0.02015501171803543,0.010292777162735373,0.05029218706726524,-0.08946571954763524,0.10645714459206314,0.40074816265588975,0.008129586432161068,0.007819544457312748,0.29857709884811445,0.053476444094986475,0.010855569939871138,8.787982583857712e-07,-0.023671389410943277,0.008946483555981505,0.008185450341186229
ga,ae_4hr_pct,threshold_interactions,0.82,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,-0.010320531616796212,0.008982916668230659,0.2506758446025139,0.0018934208660939971,0.10204710855353037,0.9851976912289906,0.003881852453424582,0.00808409074151067,0.6311275203036399,0.06179445212115634,0.010438922279852556,3.54960638659918e-09,-0.030796867121475512,0.008504870906221035,0.0002976776260021907
ga,ae_4hr_pct,threshold_interactions,0.85,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,0.0029820974967677597,0.007810278618012894,0.7026210844628964,0.07585923788914026,0.10057410043293435,0.4507443804658424,0.003847540225554065,0.006516118986323677,0.5549184281784663,0.0781704395920406,0.011631413730019814,2.1152413154368332e-11,-0.04321162577267589,0.008991287414977423,1.607327995367669e-06
ga,ae_4hr_pct,threshold_interactions,0.88,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,0.00935071874820828,0.0071142655302335964,0.18881369392332004,0.01619282754186101,0.09474593522875695,0.8643064282927897,0.0036155862646135677,0.005596471258549706,0.5182924658717158,0.07268362810745585,0.011808520621125803,8.378706617406806e-10,-0.03979911119507917,0.007956633837273736,5.962988876007103e-07
ga,ae_4hr_pct,threshold_interactions,0.9,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,0.002528847507560131,0.006926980426690586,0.7150804113462446,0.03440358631395316,0.09317077044113713,0.7119622926457692,0.00391505248459037,0.005624534337917101,0.4864347735982397,0.06654478648231318,0.012657878853142707,1.553589341618533e-07,-0.032515264525301985,0.0081238560429409,6.403799602394677e-05
ga,ae_4hr_pct,threshold_interactions,0.92,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,-0.008008086590884757,0.006718017450188218,0.23333271052011484,-0.0011733275983422107,0.09241362588495206,0.9898706976659499,-0.00021575703808308976,0.005498831590496493,0.9687038420174299,0.032195025634137966,0.01363624922334356,0.01828277281853241,-0.015742355223693195,0.007818862544787452,0.0441536314708777
ga,canc_pct28,threshold_interactions,0.8,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2857,,0.03621518311359602,0.029192757443408296,0.21487946017499393,0.2006719987908783,0.18799382035852902,0.28586981691680835,-0.009798321489279456,0.019372032974500367,0.6130406476807142,0.06656524390777466,0.0486091655059034,0.1709901729468708,-0.0953762263677997,0.055167388972431265,0.08395104625950545
ga,canc_pct28,threshold_interactions,0.82,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2857,,-0.013951500173151726,0.024041379435297553,0.5617531377530298,0.15743053034722518,0.1889668997728369,0.40485612712057684,0.002533600945078161,0.02261913334563515,0.9108227662768107,0.07753051274117868,0.04041793327903673,0.055189384515713424,-0.08508232915534159,0.04595311489015586,0.0642073621517314
ga,canc_pct28,threshold_interactions,0.85,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2857,,-0.02776904772574183,0.022713120487929474,0.22158874256367644,-0.05161178880409072,0.2826111871783825,0.8551063259997442,0.004444019871562264,0.011805383817545588,0.7066195934074067,0.06604090681543068,0.0514561944232311,0.1994493514971878,-0.08353688906224058,0.057476739655727666,0.146229082896985
ga,canc_pct28,threshold_interactions,0.88,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2857,,-0.004529620082546818,0.01601729941696151,0.7773554899086581,0.030635248974736067,0.21888347436104005,0.8887009840421101,0.025869957909853296,0.011014651566302588,0.018912197065274805,-0.0007017262565457472,0.028293776418449795,0.980215196344381,-0.0029789148809000413,0.02862878747716518,0.9171349878937711
ga,canc_pct28,threshold_interactions,0.9,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2857,,-0.003631806120932989,0.015402080969668497,0.8136061496367164,0.06479085309637558,0.19593137466046034,0.7409110828912211,0.02536804399368582,0.009986210055095736,0.01113160133530644,0.008666169548168977,0.027588590085302785,0.7534532487346146,-0.005784762463740157,0.023792615654988847,0.807921255515669
ga,canc_pct28,threshold_interactions,0.92,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2857,,-0.010704921723916024,0.01546720617850849,0.48893182696889137,-0.09538682026252934,0.20023355569548865,0.6338441562207411,0.028395718780703065,0.010508472234834535,0.006932274509499736,0.002609034788399732,0.028235770666916193,0.9263857635796744,0.017632524656498467,0.019162585654144984,0.3575753991001145
