bed_base,occ_col,outcome,y_col,knots,nobs,coef_occ,se_occ,p_occ,coef_occ_gt_80,se_occ_gt_80,p_occ_gt_80,coef_occ_gt_85,se_occ_gt_85,p_occ_gt_85,coef_occ_gt_90,se_occ_gt_90,p_occ_gt_90
all,kh03_occ_all_rate,ae_type1_pct_4hr,ae_type1_pct_4hr,"0.8,0.85,0.9",3551,-0.1275238987697893,0.13973244982703578,0.36150273707037117,0.5102358968473578,0.2701424787785498,0.0590087497431373,-0.7303223318344696,0.4207482413195164,0.08269557679245065,0.512840120064303,0.38258890856421185,0.18019018259812292
all,kh03_occ_all_rate,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,"0.8,0.85,0.9",4151,-107.84978422740082,266.8796425141674,0.6861507836381762,-1570.4095565200596,1083.339398711903,0.1472491870422492,1625.0146903185712,1858.4769701948792,0.3819645546292645,2267.790528977828,2524.8320352302435,0.3691364812174429
all,kh03_occ_all_rate,canc_cancelled_ops,canc_cancelled_ops,"0.8,0.85,0.9",2852,101.50901686828222,58.42966424731696,0.0824519922406386,-715.1116233071328,288.67743137140525,0.013303205844612753,931.1245993754459,535.1443341581579,0.0819828636385469,-173.06275908203892,488.2452518581569,0.7230231486535796
all,kh03_occ_all_rate,canc_breaches_28d,canc_breaches_28d,"0.8,0.85,0.9",2852,53.735317803202065,20.925620223904456,0.010284986023662457,-190.4978286881166,146.06432276740165,0.1922760083110402,47.011715699342005,198.297944273176,0.8126158788119802,192.30381755261848,186.43879897052415,0.30241937775243977
all,kh03_occ_all_rate,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,"0.8,0.85,0.9",2852,0.17387362711092558,0.12926218870739486,0.17869945648474217,-0.14738277292786164,0.7770261190128745,0.8495778724670164,-0.18920550209693635,0.9899158563788277,0.8484359828238719,0.5679120605219188,0.6675094250974516,0.39496082269206045
all,kh03_occ_all_rate,uec_nctr_mean,uec_uec_nctr_mean,"0.8,0.85,0.9",1434,-35.338329694707134,32.9724951402997,0.2840307743858421,-42.588789523227994,121.87898855451442,0.7268194112830426,125.56611995328808,142.27149597172942,0.3776261132847234,-89.47152450344656,157.93070749526643,0.5711356130017717
all,kh03_occ_all_rate,uec_nctr_max,uec_uec_nctr_max,"0.8,0.85,0.9",1434,-59.22949077957853,68.78950324614654,0.3893832238091801,35.71666780635315,260.958145655198,0.8911568178604912,92.85074627156501,345.7392598093608,0.7883131751272792,-342.57048146642546,392.33398312178645,0.38273717947523234
ga,kh03_occ_ga_rate,ae_type1_pct_4hr,ae_type1_pct_4hr,"0.8,0.85,0.9",3551,-0.13159205771919358,0.10595694588850617,0.21434525688551864,-0.005224987113034795,0.30118252027009446,0.986159824114549,0.25967816247315634,0.4332409181416539,0.5489562664453578,-0.22898278929643545,0.4007036378057236,0.5677314639077711
ga,kh03_occ_ga_rate,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,"0.8,0.85,0.9",3974,-370.95947660707793,363.54818799632955,0.3076106339879239,-662.4859442456677,1187.6433078977964,0.5770033012682618,47.76723590926027,2057.6791509053523,0.981480689111853,2222.8886839867932,1893.975657639019,0.24060396161490183
ga,kh03_occ_ga_rate,canc_cancelled_ops,canc_cancelled_ops,"0.8,0.85,0.9",2812,179.64668302297076,67.160390338284,0.007521577316724093,-747.4194580114207,420.19904377840953,0.07539976479978772,428.1221803876367,555.080900575621,0.44061079839576966,460.08541515527776,396.2319157008127,0.2456853355162103
ga,kh03_occ_ga_rate,canc_breaches_28d,canc_breaches_28d,"0.8,0.85,0.9",2812,100.89955689717077,34.56225745795711,0.0035372914981746106,-298.4024122762728,147.7234671594507,0.04348369415723252,62.89931838807981,212.97044398584913,0.7677551818207948,194.70413193659184,164.02823542134462,0.23532832957159
ga,kh03_occ_ga_rate,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,"0.8,0.85,0.9",2812,0.4471904049807188,0.2517596123317745,0.07580551951717918,-1.4617223347149222,0.776921887740792,0.0600239218700549,1.0278486335327686,1.094846836214701,0.3479164704401021,0.1984399873723078,0.7497894876580627,0.7912913729160813
ga,kh03_occ_ga_rate,uec_nctr_mean,uec_uec_nctr_mean,"0.8,0.85,0.9",1434,-19.749428377954434,20.21693212496761,0.32881275073311445,-51.41598613430061,179.2171437673639,0.7742407136727167,79.48699159963138,247.235466900061,0.7478808571997244,-18.73970665541502,157.47093620332592,0.9052904232447554
ga,kh03_occ_ga_rate,uec_nctr_max,uec_uec_nctr_max,"0.8,0.85,0.9",1434,-0.08922905496524201,48.13084383195321,0.998521099406563,-136.4816352383842,388.00733710088116,0.7250827476620216,169.7286710568474,451.91322689334555,0.7072920075129323,-169.42240016282622,298.68259657777526,0.5706544853971063
acute_proxy,kh03_occ_acute_rate,ae_type1_pct_4hr,ae_type1_pct_4hr,"0.8,0.85,0.9",3551,-0.10780443202756508,0.1365275755391734,0.42980713258922076,0.44686035613007796,0.27329525260056564,0.10212481614532987,-0.6571370914340909,0.4374039986935477,0.13309827315496592,0.5183394092164078,0.4365845775730614,0.23520850873411003
acute_proxy,kh03_occ_acute_rate,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,"0.8,0.85,0.9",3974,-452.8859212924723,375.2088694104232,0.22749850212338396,-1063.9660683604616,1140.8604836835211,0.35108619145817865,1342.658160734802,1994.173477237297,0.5008035589984314,2039.039813652049,2708.941279807804,0.4516726337854564
acute_proxy,kh03_occ_acute_rate,canc_cancelled_ops,canc_cancelled_ops,"0.8,0.85,0.9",2812,155.53945157627405,73.25697887441216,0.03382979341644199,-766.2253667628385,320.77243692285026,0.01697862700449515,835.0509650209978,546.8866116194583,0.12690144242893653,-106.00848843781503,503.14796107373377,0.8331450900200585
acute_proxy,kh03_occ_acute_rate,canc_breaches_28d,canc_breaches_28d,"0.8,0.85,0.9",2812,89.28260194060469,37.45939590527807,0.01722165473180115,-251.20821921455803,164.4344373955064,0.12670445057080482,42.56519712214819,207.93343149423575,0.8378177323731688,235.61279426034983,206.89465709457073,0.2548877665253897
acute_proxy,kh03_occ_acute_rate,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,"0.8,0.85,0.9",2812,0.3814278587366578,0.2564713122298397,0.1370778098545602,-0.6475838857726347,0.9478669289758066,0.49453973780772564,0.08697548729671274,1.10470471655559,0.9372518599146837,0.6952815317445018,0.7066924075424963,0.32527806200657006
acute_proxy,kh03_occ_acute_rate,uec_nctr_mean,uec_uec_nctr_mean,"0.8,0.85,0.9",1434,-41.47306802902694,35.65013749647564,0.24490724757893423,-0.7130072473917937,121.54026089994872,0.9953201955970414,59.79873477347984,141.25179967158647,0.6721111623244402,-36.250245876812016,163.93264781143463,0.8250268486875327
acute_proxy,kh03_occ_acute_rate,uec_nctr_max,uec_uec_nctr_max,"0.8,0.85,0.9",1434,-53.45225643683238,63.025516301998124,0.3965358535677972,70.28129269333856,272.26690170768546,0.7963445604460375,22.988234673480516,367.2400774706353,0.950096822736054,-328.2891141739237,411.5147825243039,0.4251569899573404
adult_ga_proxy,kh03_occ_adult_ga_rate,ae_type1_pct_4hr,ae_type1_pct_4hr,"0.8,0.85,0.9",3551,-0.13159205771919358,0.10595694588850617,0.21434525688551864,-0.005224987113034795,0.30118252027009446,0.986159824114549,0.25967816247315634,0.4332409181416539,0.5489562664453578,-0.22898278929643545,0.4007036378057236,0.5677314639077711
adult_ga_proxy,kh03_occ_adult_ga_rate,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,"0.8,0.85,0.9",3974,-370.95947660707793,363.54818799632955,0.3076106339879239,-662.4859442456677,1187.6433078977964,0.5770033012682618,47.76723590926027,2057.6791509053523,0.981480689111853,2222.8886839867932,1893.975657639019,0.24060396161490183
adult_ga_proxy,kh03_occ_adult_ga_rate,canc_cancelled_ops,canc_cancelled_ops,"0.8,0.85,0.9",2812,179.64668302297076,67.160390338284,0.007521577316724093,-747.4194580114207,420.19904377840953,0.07539976479978772,428.1221803876367,555.080900575621,0.44061079839576966,460.08541515527776,396.2319157008127,0.2456853355162103
adult_ga_proxy,kh03_occ_adult_ga_rate,canc_breaches_28d,canc_breaches_28d,"0.8,0.85,0.9",2812,100.89955689717077,34.56225745795711,0.0035372914981746106,-298.4024122762728,147.7234671594507,0.04348369415723252,62.89931838807981,212.97044398584913,0.7677551818207948,194.70413193659184,164.02823542134462,0.23532832957159
adult_ga_proxy,kh03_occ_adult_ga_rate,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,"0.8,0.85,0.9",2812,0.4471904049807188,0.2517596123317745,0.07580551951717918,-1.4617223347149222,0.776921887740792,0.0600239218700549,1.0278486335327686,1.094846836214701,0.3479164704401021,0.1984399873723078,0.7497894876580627,0.7912913729160813
adult_ga_proxy,kh03_occ_adult_ga_rate,uec_nctr_mean,uec_uec_nctr_mean,"0.8,0.85,0.9",1434,-19.749428377954434,20.21693212496761,0.32881275073311445,-51.41598613430061,179.2171437673639,0.7742407136727167,79.48699159963138,247.235466900061,0.7478808571997244,-18.73970665541502,157.47093620332592,0.9052904232447554
adult_ga_proxy,kh03_occ_adult_ga_rate,uec_nctr_max,uec_uec_nctr_max,"0.8,0.85,0.9",1434,-0.08922905496524201,48.13084383195321,0.998521099406563,-136.4816352383842,388.00733710088116,0.7250827476620216,169.7286710568474,451.91322689334555,0.7072920075129323,-169.42240016282622,298.68259657777526,0.5706544853971063
